repo	stack	domain_hint	notes
duga-video-ranking	php	-	
play-withladies-ranking	astro	-	
play-withca-ranking	astro	-	
play-with-stewardess-ranking	astro	-	
play-with-racequeen-ranking	astro	-	
play-intrain-ranking	astro	-	
play-with-roundgirl-ranking	php	-	
play-with-promotionalgirl-ranking	php	-	
playincar-ranking	php	-	
play-inplane-ranking	php	-	
play-inbus-ranking	php	-	
ntr-exchange-ranking	astro	-	
ikigaman-ranking	astro	-	
gyakyu-netorare-ranking	astro	-	
neback-ranking	php	-	
mesuochi-ranking	php	-	
hard-piston-ranking	php	-	
back-piston-ranking	php	-	
gyaru-ranking	astro	-	
onsen-ranking	astro	-	
shibari-ranking	php	-	
netorare-ranking	php	-	
tachiback-ranking	php	-	
kosupure-ranking	php	-	
adult-comic-ranking	php	-	
adult-novel-ranking	php	-	
bl-tl-novel-ranking	php	-	
bl-tl-doujin-ranking	php	-	
shirouto-ranking	php	-	
taimenzai-ranking	php	-	
mesuiki-ranking	php	-	
kyonyu-ranking	php	-	
chijo-ranking	astro	-	
ohogao-ranking	astro	-	
netorase-ranking	astro	-	
kijoi-ranking	astro	-	
ahegao-ranking	astro	-	
mature-genre-ranking	php	-	
adult-figure-ranking	php	-	
gravure-photo-ranking	php	-	
r18-anime-ranking	php	-	
cross-asp-ranking	php	-	
